year,LAI_irr,LAI_ctrl,LAI_irrstp
2000,2.1425,2.1425,2.1425
2001,2.1425,2.1425,2.1425
2002,2.1425,2.1425,2.1425
2003,2.1425,2.1425,2.1425
2004,2.1777,2.1648,2.1777
2005,2.2804,2.1268,2.2804
2006,2.3718,2.0898,2.3718
2007,2.452,2.0537,2.452
2008,2.5209,2.0184,2.5209
2009,2.5785,1.984,2.5785
2010,2.6249,1.9505,2.6249
2011,2.6601,1.9179,2.6601
2012,2.684,1.8861,2.684
2013,2.6966,1.8553,2.6966
2014,2.698,1.8253,2.6014
2015,2.6882,1.7963,2.5062
2016,2.6671,1.7681,2.411
2017,2.6347,1.7407,2.3158
2018,2.5911,1.7143,2.2206
2019,2.5362,1.6888,2.1254
2020,2.4701,1.6641,2.0302
2021,2.3927,1.6403,1.9349
2022,2.37,1.6175,1.8397
2023,2.37,1.5954,1.7445
2024,2.37,1.5743,1.6493
2025,2.37,1.5541,1.5541
